ID,Block,Trial,Pic1,Pic2
120323,1,1,75G56,25BG56
120323,1,2,25BG56,25B56
120323,1,3,25BG56,75G56
120323,1,4,25B56,25BG56
120323,1,5,75BG56,25B56
120323,1,6,25B56,75BG56
120323,2,1,75G56,25BG56
120323,2,2,25B56,25BG56
120415,1,1,25BG56,25B56
120415,1,2,25B56,25BG56
120415,1,3,75BG56,25B56
120415,1,4,25BG56,75G56
120415,1,5,25B56,75BG56
120415,1,6,75G56,25BG56
120417,1,1,25B56,25BG56
120417,1,2,75G56,25BG56
120417,1,3,25B56,75BG56
120417,1,4,25BG56,75G56
120417,1,5,25BG56,25B56
120417,1,6,75BG56,25B56
120417,2,1,25B56,75BG56
120417,2,2,75BG56,25B56
120417,2,3,25BG56,25B56
120419,1,1,25B56,75BG56
120419,1,2,75BG56,25B56
120419,1,3,75G56,25BG56
120419,1,4,25BG56,25B56
120419,1,5,25B56,25BG56
120419,1,6,25BG56,75G56
120419,2,1,25B56,75BG56
120419,2,2,75G56,25BG56
120419,2,3,25BG56,25B56
120419,2,4,25BG56,75G56
120419,2,5,75BG56,25B56
120419,2,6,25B56,25BG56
120421,1,1,25B56,25BG56
120421,1,2,25BG56,75G56
120421,1,3,25BG56,25B56
120421,1,4,75BG56,25B56
120421,1,5,75G56,25BG56
120421,1,6,25B56,75BG56
120421,2,1,75G56,25BG56
120421,2,2,25B56,75BG56
120421,2,3,75BG56,25B56
120421,2,4,25BG56,25B56
120421,2,5,25B56,25BG56
120421,2,6,25BG56,75G56
120425,1,1,75BG56,25B56
120425,1,2,25BG56,25B56
120425,1,3,25B56,75BG56
120425,1,4,75G56,25BG56
120427,1,1,25B56,25BG56
120427,1,2,25BG56,75G56
120427,1,3,75G56,25BG56
120427,1,4,75BG56,25B56
120427,1,5,25BG56,25B56
120427,1,6,25B56,75BG56
120427,2,1,75BG56,25B56
120427,2,2,25BG56,25B56
120427,2,3,25BG56,75G56
120427,2,4,25B56,25BG56
120427,2,5,75G56,25BG56
120427,2,6,25B56,75BG56
120429,1,1,75G56,25BG56
120429,1,2,25B56,25BG56
120429,1,3,25BG56,25B56
120429,1,4,75BG56,25B56
120429,1,5,25B56,75BG56
120429,1,6,25BG56,75G56
120431,1,1,25BG56,75G56
120431,1,2,75BG56,25B56
120431,1,3,25B56,25BG56
120431,1,4,75G56,25BG56
120431,1,5,25BG56,25B56
120431,1,6,25B56,75BG56
120431,2,1,75BG56,25B56
120431,2,2,25B56,75BG56
120431,2,3,25BG56,25B56
120433,1,1,25B56,25BG56
120433,1,2,25B56,75BG56
120433,1,3,75G56,25BG56
120433,1,4,25BG56,75G56
120433,1,5,25BG56,25B56
120433,1,6,75BG56,25B56
120433,2,1,25BG56,75G56
120433,2,2,25B56,75BG56
120433,2,3,25B56,25BG56
120433,2,4,75BG56,25B56
120433,2,5,75G56,25BG56
120433,2,6,25BG56,25B56
120435,1,1,25B56,25BG56
120435,1,2,25B56,75BG56
120435,1,3,25BG56,75G56
120435,1,4,25BG56,25B56
120435,1,5,75BG56,25B56
120435,1,6,75G56,25BG56
120435,2,1,25B56,25BG56
120435,2,2,25B56,75BG56
120435,2,3,75G56,25BG56
120435,2,4,75BG56,25B56
120435,2,5,25BG56,25B56
120435,2,6,25BG56,75G56
120437,1,1,25BG56,25B56
